town,salesprice,lotarea,AC
DUBUQUE,143900,7500,Yes
DUBUQUE,120000,2500,Yes
DUBUQUE,20000,2600,No
DUBUQUE,80000,5300,No
DUBUQUE,417000,5000,No
DUBUQUE,155000,3500,No
DUBUQUE,75000,3700,No
DUBUQUE,117500,9000,Yes
DUBUQUE,91000,5828,Yes
DUBUQUE,115000,9855,Yes
DUBUQUE,135000,5459,No
DUBUQUE,135000,4800,Yes
DUBUQUE,132500,5000,Yes
DUBUQUE,170000,5000,Yes
DUBUQUE,42500,25926,No
DUBUQUE,160550,7260,No
DUBUQUE,120000,6000,Yes
DUBUQUE,201000,7000,Yes
DUBUQUE,165000,20800,Yes
DUBUQUE,30000,116741,unknown
DUBUQUE,170000,0,Yes
DUBUQUE,725000,53579,Yes
DUBUQUE,230000,11808,Yes
DUBUQUE,340000,10192,Yes
DUBUQUE,169900,13280,Yes
DUBUQUE,175000,13230,Yes
DUBUQUE,140000,13015,Yes
DUBUQUE,277500,13156,Yes
DUBUQUE,9000,2614,unknown
unknown,9000,18750,unknown
unknown,9000,17500,unknown
DUBUQUE,9000,46435,unknown
DUBUQUE,9000,46435,unknown
DUBUQUE,180000,12200,Yes
DUBUQUE,167000,10000,Yes
DUBUQUE,127500,7500,Yes
DUBUQUE,42601,7000,Yes
DUBUQUE,167000,24909,Yes
DUBUQUE,181000,11700,Yes
DUBUQUE,221400,7080,Yes
DUBUQUE,116000,10000,Yes
DUBUQUE,108500,5000,Yes
DUBUQUE,2330000,95919,unknown
DUBUQUE,2.00E+05,2675,Yes
DUBUQUE,2.00E+05,6848,No
DUBUQUE,2330000,16125,unknown
DUBUQUE,2330000,3705,unknown
FARLEY,178000,11590,Yes
FARLEY,173000,4752,Yes
FARLEY,85000,8052,No
EPWORTH,148000,14000,Yes
EPWORTH,130924,8208,Yes
EPWORTH,264000,9775,Yes
FARLEY,3.00E+05,20700,Yes
FARLEY,328000,23222,Yes
PEOSTA,380000,18389,Yes
unknown,120000,124582,unknown
PEOSTA,4.00E+05,20400,Yes
unknown,120000,95396,unknown
PEOSTA,57000,18785,Yes
PEOSTA,54000,17459,Yes
PEOSTA,60000,20125,unknown
PEOSTA,250000,14400,Yes
PEOSTA,233000,10200,Yes
PEOSTA,212000,0,unknown
PEOSTA,241500,37462,Yes
PEOSTA,39000,9450,unknown
PEOSTA,265500,43560,Yes
PEOSTA,118500,270943,Yes
DUBUQUE,6650000,2212456,Yes
DUBUQUE,350000,11220,No
DUBUQUE,6650000,1539410,Yes
DUBUQUE,306000,16632,Yes
DUBUQUE,146500,60810,unknown
DUBUQUE,330000,760296,unknown
DUBUQUE,112000,38333,unknown
DUBUQUE,112000,46609,unknown
DUBUQUE,319900,8269,Yes
DUBUQUE,282000,34412,Yes
DUBUQUE,309000,60984,Yes
DUBUQUE,320000,41382,Yes
DUBUQUE,187000,9600,Yes
unknown,60000,79715,unknown
DUBUQUE,245000,32234,Yes
unknown,51000,59677,unknown
unknown,83000,141570,unknown
CASCADE,277500,20440,Yes
RICKARDSVILLE,115000,13100,No
DUBUQUE,173900,18295,Yes
unknown,60000,90169,unknown
DYERSVILLE,455000,74052,Yes
DYERSVILLE,112666,15250,Yes
DYERSVILLE,50000,7590,Yes
DYERSVILLE,172000,11234,Yes
DUBUQUE,208000,36590,Yes
DUBUQUE,325000,217800,No
DUBUQUE,315000,57935,Yes
DURANGO,116000,11280,Yes
DUBUQUE,204500,6816,Yes
unknown,60000,43560,unknown
DUBUQUE,398000,43560,Yes
DUBUQUE,367500,50530,Yes
DUBUQUE,280000,60984,Yes
DUBUQUE,204000,38768,Yes
DUBUQUE,87000,3700,No
DUBUQUE,99900,3700,Yes
DUBUQUE,50000,5000,Yes
DUBUQUE,41709,3800,Yes
DUBUQUE,12000,5200,Yes
DUBUQUE,34167,6839,unknown
DUBUQUE,34167,13514,No
DUBUQUE,50000,4640,Yes
DUBUQUE,23501,3498,Yes
DUBUQUE,198000,17578,Yes
DUBUQUE,156500,9750,Yes
DUBUQUE,85000,20827,Yes
DUBUQUE,148000,7821,Yes
DUBUQUE,170000,30275,unknown
DUBUQUE,170000,7808,Yes
DUBUQUE,131500,15072,Yes
DUBUQUE,197500,13965,Yes
DUBUQUE,190000,19082,Yes
DUBUQUE,195000,9020,Yes
DUBUQUE,269900,27192,Yes
DUBUQUE,253000,13100,Yes
unknown,64000,73616,unknown
unknown,7000,73616,unknown
unknown,64000,58806,unknown
unknown,7000,58806,unknown
unknown,64000,45738,unknown
unknown,7000,45738,unknown
unknown,64000,60984,unknown
unknown,64000,50094,unknown
unknown,7000,50094,unknown
unknown,64000,56192,unknown
unknown,7000,56192,unknown
unknown,64000,49658,unknown
unknown,7000,49658,unknown
unknown,64000,60548,unknown
unknown,7000,60548,unknown
unknown,64000,43560,unknown
unknown,7000,43560,unknown
unknown,64000,49223,unknown
unknown,7000,49223,unknown
unknown,650000,20000,unknown
unknown,650000,20000,unknown
unknown,650000,160736,unknown
unknown,650000,13389,unknown
DUBUQUE,650000,27000,Yes
ASBURY,140000,15470,Yes
